"","x"
"GRID_DWD11_13_DWD11",0
"GRID_DWD11_14_DWD11",0
"GRID_DWD11_15_DWD11",0
"MRK_ORDER_DWD11_1_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_2_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_3_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_4_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_5_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_6_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_7_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_8_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_9_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_10_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_11_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_12_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_13_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_14_MRK_ORDER_DWD11",0
"MRK_ORDER_DWD11_15_MRK_ORDER_DWD11",0
"MARK_START_TIME_DWD",0
"MARK_END_TIME_DWD",0
"MARK_DIFF_TIME_DWD",0
"Section_Version_DWD",0
"Wavemarker",0
"RACE_wgt",0
"CurrentMonth",0
"CurrentYear",0
"KIDS01",0
"USRACE41",0
"USRACE42",0
"USRACE43",0
"USRACE44",0
"USRACE45",0
"USRACE46",0
"USRACE47",0
"COUNTRY10",0
"INDHH1001",0
"INDHH1002",0
"INDHH1003",0
"INDHH1004",0
"INDHH1005",0
"INDHH1006",0
"INDHH1007",0
"INDHH1008",0
"INDHH1009",0
"INDHH1010",0
"INDHH1011",0
"INDHH1012",0
"INDHH1013",0
"INDHH1014",0
"INDHH1015",0
"INDHH1016",0
"INDHH1017",0
"INDHH1018",0
"INDHH1019",0
"INDHH1020",0
"INDHH1021",0
"INDHH1022",0
"INDHH1023",0
"INDHH1024",0
"INDHH1025",0
"INDHH1026",0
"INDHH1027",0
"INDHH1028",0
"INDHH1029",0
"INDHH1030",0
"INDHH1031",0
"INDHH1032",0
"INDHH1033",0
"INDHH1034",0
"INDHH1035",0
"INDHH1036",0
"USEDU3",0
"USRETH3",0
"PGS01",0
"EMP01",0
